Input.original_query,Input.query,Answer.question1,Answer.question2,Answer.question3,Answer.question4,Answer.question5,Answer.question6
My son is 16 and super shy and awkward. How do I build his self esteem?,How to help a 16-year old build his self-esteem?,What are best way to build self-esteem among teen kid?,What can I do help Teen kid to grow self esteem?,What cause self esteem in teenagers?,How to boost self esteem in my teen boy?,How to help teen girl to build self esteem?,What are statergies to build self esteem in teen kids?
"Okay, but how did “Good Morning, Vietnam” help the sales of What a Wonderful World”","How did “Good Morning, Vietnam” help the sales of What a Wonderful World”?",what kind of questions are use to clarify informations ?,how did you clarifying questions ?,what are the top 10 questions to ask an interviewer ?,how many peoples participate in this study ?,are you interested in this searching ?,are you happy or not happy to participate in this activites ?
Okay. So what’s another famous landmark in the world?,What’s another famous landmark in the world besides the Great Wall in China?,"Aside from the Great Wall in China, what are other famous landmarks?","The Great Wall in China is a common landmark, but what are some others?","Not including the Great Wall in China, what landmarks are really significant?","Everyone knows about the Great Wall in China, but what's a landmark that's also famous?","If someone wanted to visit famous landmarks, where would they go aside from the Great Wall in China?","If I don't intend on traveling to China, where else might I find a famous landmark?"
Okay. So what’s another famous landmark in the world?,What’s another famous landmark in the world besides the Great Wall in China?,What great places do people want to goto other than the Great Wall in China?,Where else can one go to see a place  as beautiful as  the Great Wall in China?,Name places as great as the Great Wall in China.,Would you know other places in the world besides the Great Wall in China?,What other landmarks are there as grand as the Great Wall in China?,What do you think are the other landmarks on earth that are as good as the Great Wall in China?
Tell me more Duke Town in Calabar,Duke Town in Calabar,what is the old name of calabar?,what do calabar call their king?,how did calabar get its name?,what is calabar known for?,how did duck get its name?,is duck campus open to public?
What else about scams should I be aware of asides guaranteed returns?,What else about scams should I be aware of asides guaranteed returns?,What are the most popular scams currently?,How can I protect myself from being scammed?,What are the ways that I can identify a scam?,Is there a way to identify a scamming website?,Can I expect to get my money back after being scammed?,Who should I contact if I think I've been scammed?
What else about scams should I be aware of asides guaranteed returns?,What else about scams should I be aware of asides guaranteed returns?,Can i get my money back if i think i have been scammed?,What should you do if you feel you have been scammed?,What are some strategies that can help you avoid scams?,How do you i deal with being scammed out of money?,What you can do to avoid investment fraud?,What are the document for guaranteed returns?
What else about scams should I be aware of asides guaranteed returns?,What else about scams should I be aware of asides guaranteed returns?,What should I do If I feel I am scammed?,Can I recovere money if I am scammed?,How to avoid scam beside guranteed returns?,To whom should I complain for guarantee scams?,What do you need to know about scams aside guarantee returns?,What are best ways to avaoid scam on guarantee returns?
So is this scam that offers 20% monthly interest on my money a ponzi scheme?,Ponzi scam,What ia a ponzi scam?,who is involved in ponzi scams?,ponzi scammers in the world,ponzi scam illustration,When did a ponzi scheme occur,Ponzi scam definition
"No, tell me how Ponzi schemes collapse",How Ponzi schemes collapse?,How soes a ponzi schem fail?,when did a ponzi scheme fail,Collapse of ponzi schemes,collapsse of ponzi schemes in hyistory,Biggest ponzi scheme collapse,How to spot a ponzi scheme.
I know that there are similar schemes to Ponzi schemes. Can you compare then?,Similar schemes to Ponzi scam,What is the biggest difference between a ponzi scheme and a pyramid scheme?,Is a Ponzi scheme the same as an MLM?,Who is the ponzi scheme named after?,Would you like to know examples of ponzi schemes?,What was the largest ponzi scheme in history?,Is Mary Kay considered a ponzi scheme?
What makes the culture of Porteños distinct from the rest of Argentina?,culture of Porteños,what is the argentinian culture like?,why are argentinians called portenos?,what are the cultures in argentina?,what does portenos mean in english?,what are three traditions in argentina?,what is argentinian culture known for?
"Wow, that’s amazing! What’s the coolest fintech startups currently?",coolest fintech startups,WHAT SHOULD I ASK A FINTECH ?,WHAT QUESTION SHOULD I ASK AT A FINTECH INTERVIEW ?,WHAT IS THE BIGGEST CHALLENGE IN FINTECH ?,WHAT ARE THE  TOP 3 CHALLENGES CONSUMERS FACE IN DELLING WITH FINTECH COMPANIES ?,HOW DO YOU EVALUTE FINTECH STARTUPS ?,WHAT PROBLEMS CAN FINTECH SOLVE ?
I like meat. What dishes are popular?,popular meat dishes in Argentina,What meat is popular in argentina?,What is the more popular dish in argentina?,What is the most popular street food in argentina meat?,What is the common food in argentina?,Do argentina eat pork?,What argentina in famous for?
Tell me more about the tango.,the tango,Is tango a chinese app?,who is the owner of tango live app?,Is tango good app?,what is tango process?,how much is tango premium?,does tango work outside of browser?
Tell me more about the tango.,the tango,Is the tango a dance,do you know how to tang,where can we learn to tango,who can teach us  about the history of the tango,do you have a tango teacher,has someone written a book about how to tango
When did people first start caring about rocket engine reusability?,When did people first start caring about rocket engine reusability?,How important is it to reuse rocket engines?,When was the first time a rocket engine was reused?,Has SpaceX started reusing engine rockets?,Did NASA ever reuse a rocket engine?,How much money can be saved when rocket engines are reused?,What is the typical lifespan of a rocket engine?
What is the regulatory environment for cryptocurrencies in Europe?,regulatory environment of cryptocurrencies in Europe,What is the regulatory environment cryptocurrencies in Europe in 2022?,How do I find out about the regulatory environment cryptocurriencies in Europe?,When did they start regulating cryptocurrencies in Europe?,Who regulates cryptocurrenices in Europe?,What do I need to know about regulation of cryptocurriences in Europe when trading/selling?,Is there a place I can go to see rules and regulations in Europe with cryptocurriences?
"Tell me more about the rocket engines for Falcon 9, Falcon heavy, dragon, and starship.",dragon engine,what games use dragon engin?,who made dragon engine?,is yakuza 0 on the dragon engine?,what is ford dragon engine?,what engine is yakuza 5 in ?,who owns the yakuza ip?
"Tell me more about the rocket engines for Falcon 9, Falcon heavy, dragon, and starship.",dragon engine,who made dragon engine?,what games use dragon engine?,ls yakuza:like  a dragon on the dragon engine?,does judgement use dragon engine?,what does the dragon engine do?,what is ford dragon engine?
"Tell me more about the rocket engines for Falcon 9, Falcon heavy, dragon, and starship.",dragon engine,its normal beter,to avaoid thepolitical,best my think noise no,lead the method typing,you also behind the scen,beter think good
How come Spacex is using methane as their new rocket engine propellent?,Why Spacex is using methane as their new rocket engine propellent?,How much Meathane does use?,Is this okay for Rocket engine propellent?,Why does spacex is using methane?,How is liquid methane made?,How does spacex used methane?,Are you interested in Roceket engine propellent?
How come Spacex is using methane as their new rocket engine propellent?,Why Spacex is using methane as their new rocket engine propellent?,What exactly is methane gas and how is it used in rocket fuel?,Is methane rocket fuel cheaper then other rocket fuels?,Do yo get more power from using methane fuel?,What is space ex?,What is the difference between methane and hydrogen fuel?,Does methane create less polution then other fuels?
How come Spacex is using methane as their new rocket engine propellent?,Why Spacex is using methane as their new rocket engine propellent?,Is methane less polluting that kerosene?,Is methane the least polluting fuel?,Does methane cause global warming?,Why does methane and methamphetamine have the same prefix?,What is the prefix for three carbon atoms?,How do we stop Elon Musk's SpaceX from ruining the earth?
How come Spacex is using methane as their new rocket engine propellent?,Why Spacex is using methane as their new rocket engine propellent?,Why does Spacex use methane ?,Why is Spacex using a new fuel ?,Does Spacex use liquid methane ?,What fuel does Spacex use for their rockets ?,Is methane a clean rocket fuel ?,Where does Spacex get methane ?
What are portenos known for?,What are portenos known for?,Who are portenos?,Where are portenos located?,What nationality are portenos?,What language is porteno?,Where are portenos prominent?,What is the original culture of portenos?
South american culture,South american culture,What is the main culture of south America,What are some south american caltures ?,What is the most Popular Culture In south america ?,What is south america most known for?,What is the 5 facts About South America?,what are the 2 facts about south America
what is a rocket engine powering cycle and which are there?,rocket engine powering cycle,Would you like to know how rocket engines are powered?,How do rocket engines work?,What powers a rocket engine?,What is the powering cycle of a rocket engine?,What are the steps of cycling in a rocket engine?,How does the pwering cycle of a rocket engine work?
Rocket engines,Rocket engines,How Rocket Engines works?,What are the list Rocket Engines?,What are the main categerioes of Rocket Engines?,What are the origin of Rocket Engines?,Which century introduced this?,Which fuel is used to Rocket Engines?
Rocket engines,Rocket engines,Do you want to know about Rocket engines.,How Rocket engines works with?,What are the main working principles of rocket engine?,Define rocket engine?,What is rocket engine?,What is the efficiency of rocket engine?
open banking,open banking,yes,no,yes,yes,no,yes
